Source,Target,Density
1,2,139
1,3,221
1,4,3
1,5,3
1,6,27
1,7,48
1,10,40
1,11,19
1,12,5
1,13,16
1,16,29
1,18,4
1,19,8
1,22,1
1,23,1
1,25,1
1,26,97
1,27,57
1,28,6
1,30,6
1,31,15
1,33,99
1,34,3
1,35,45
1,36,71
1,40,19
1,41,15
1,42,17
1,43,6
1,45,11
1,47,2
1,48,35
1,49,12
1,50,2
1,51,1
1,52,286
1,53,7
1,54,4
1,55,10
1,56,2
1,57,59
1,59,2
1,60,2
1,63,1
1,64,4
1,66,19
1,69,12
1,70,1
1,72,8
1,73,4
1,78,2
1,79,4
1,80,6
1,94,5
1,98,8
1,100,12
1,102,7
1,116,2
1,121,4
1,122,3
1,124,21
1,133,2
1,135,2
1,139,2
2,1,126
2,3,78
2,4,29
2,5,35
2,6,10
2,7,15
2,8,56
2,9,4
2,10,28
2,26,17
2,36,41
2,54,3
2,69,18
2,97,5
2,109,5
2,124,38
2,136,1
3,1,324
3,2,116
3,4,8
3,5,79
3,6,14
3,7,9
3,26,23
3,36,3
3,54,15
3,78,3
3,102,1
3,109,13
3,116,2
3,124,36
3,134,10
4,2,19
4,3,4
5,1,19
5,2,35
5,3,81
5,6,21
5,7,6
5,8,6
5,10,5
5,54,5
5,109,4
5,124,3
6,1,23
6,2,8
6,3,12
6,5,10
6,7,6
6,8,3
6,14,7
6,16,7
6,17,23
6,18,3
6,19,8
6,54,4
7,1,48
7,2,35
7,3,11
7,5,7
7,6,7
7,8,4
7,9,4
7,10,10
7,11,10
7,12,8
7,13,6
7,31,7
7,32,9
7,36,7
7,69,2
7,102,2
8,1,9
8,2,59
8,5,5
8,7,5
8,9,4
8,36,2
8,124,3
8,133,2
9,1,1
9,2,10
9,7,2
9,8,1
10,1,32
10,2,31
10,7,13
10,8,1
10,36,2
11,1,21
11,7,11
11,10,4
11,31,31
11,34,34
11,36,36
12,1,5
12,7,6
12,35,3
13,1,17
13,7,3
13,18,8
13,22,1
13,23,3
13,24,1
13,25,2
13,26,2
13,36,2
13,37,2
14,6,6
15,6,6
