Name,Initial_Label,Revised_Names,Chinese,Origin,Side,Home,True_Identity,Have_Alternative,Insignificant_Characters
1,Sun Wukong,Sun Wukong,孙悟空,Novel,Good,Lingshan,Sun Wukong,1,0
2,Tang Monk,Tang Monk,唐僧,Novel,Good,Lingshan,Tang Monk,0,0
3,Zhu Bajie,Zhu Bajie,猪八戒,Novel,Good,Lingshan,Zhu Bajie,1,0
4,Tang Taizong,Tang Taizong,唐太宗,History,Good,Earth,Tang Taizong,0,0
5,Sha Seng,Sha Seng,沙僧,Novel,Good,Lingshan,Sha Seng,0,0
6,Xiao Bailong,Xiao Bailong,小白龙,Novel,Good,Sea,Xiao Bailong,1,0
7,Ru Lai,Ru Lai,如来佛祖,Buddha,Good,Lingshan,Ru Lai,0,0
8,Guan Yin,Guan Yin,观音菩萨,Buddha,Good,Lingshan,Guan Yin,0,0
9,Nameless Buddha,Nameless Buddha,无名佛,Buddha,Good,Lingshan,Nameless Buddha,0,0
10,A Nan & Jia Ye,A Nan & Jia Ye,阿难，迦叶,Buddha,Evil,Lingshan,A Nan & Jia Ye,0,0
11,Ran Deng,Ran Deng,燃灯古佛,Buddha,Good,Lingshan,Ran Deng,0,0
12,Buddha Guard,Arhat,金刚,Buddha,Good,Lingshan,Arhat,0,1
13,Jade Emperor,Jade Emperor,玉帝,Tao,Good,Celestial Court,Jade Emperor,0,0
14,Shrimp Soldier,Shrimp Soldier,虾兵,Tao,Good,Sea,Shrimp Soldier,0,1
15,Wu Ji,Wu Ji,武吉,Tao,Evil,Celestial Court,Wu Ji,0,0
16,Ao Qin,Dragon King of South Sea,敖钦（南海龙王）,Tao,Good,Sea,Dragon King of North Sea,0,0
17,Turtle Chancellor,Turtle Chancellor,龟丞相,Tao,Good,Sea,Turtle Chancellor,0,0
18,Wude Xingjun,Wude Xingjun,武德星君,Tao,Evil,Celestial Court,Wude Xingjun,0,0
19,Jinghe Longwang,Dragon King of Jinghe,泾河龙王,Tao,Good,Sea,Dragon King of Jinghe,0,0
20,Leisheng Puhuatianzun,Leisheng Puhuatianzun,雷声普化天尊,Tao,Good,Celestial Court,Leisheng Puhuatianzun,0,0
21,Crab Soldier,Crab Soldier,蟹将,Tao,Good,Sea,Crab Soldier,0,1
22,Weihe Longwang,Dragon King of Weihe,渭河龙王,Original,Evil,Sea,Dragon King of Weihe,0,0
23,De Tianshi,De Tianshi,德天师,Tao,Good,Celestial Court,De Tianshi,0,0
24,Shuide Xingjun,Shuide Xingjun,水德星君,Tao,Good,Celestial Court,Shuide Xingjun,0,0
25,Celestial Guard,Celestial Guard,天庭守卫,Tao,Good,Celestial Court,Celestial Guard,0,1
26,Ne Zha,Ne Zha,哪吒,Tao,Good,Celestial Court,Ne Zha,1,0
27,Qin Guang Wang,Qin Guang Wang,秦广王,Tao,Good,Hell,Qin Guang Wang,0,0
28,Wude Xingjun's wife,Wude Xingjun's wife,武德星君之妻,Original,Evil,Celestial Court,Wude Xingjun's wife,0,0
29,Li Jing,Li Jing,李靖,Tao,Good,Celestial Court,Li Jing,0,0
30,Monkeys,Monkeys,猴子,Novel,Good,Earth,Monkeys,0,1
31,Kongque Mingwang,Mahāmāyūrī,孔雀明王,Buddha,Good,Lingshan,Mahāmāyūrī,0,0
32,Mo Luo,Māra,魔罗,Buddha,Evil,Dark Realm,Mo Luo,1,0
33,Ayinafa,Ayinafa,阿依纳伐,Original,Evil,Asura Realm,Ayinafa,0,0
34,Yun Ju,Yun Ju,云居尊者,Original,Good,Lingshan,Yun Ju,0,0
